Customer_ID,Order_ID,Subscription_Date,Product_ID,Product_Name,Category,Subscription_Type,Usage_Frequency,Revenue_Per_Customer,Payment_Plan,Discount_Applied,Support_Tickets,Feature_Adoption,Last_Login,Churn_Status,Customer_Tenure,Customer_Satisfaction,Marketing_Channel,Contract_Renewal,Num_Logins_Last_Month
480,7,23-Nov-22,9,NeuroVision,Artificial Intelligence,Enterprise,Weekly,2718,Monthly,21,33,97,13/06/2023,0,8,3,Social Media,0,6
1734,17,28-Nov-22,12,DeepMindX,Artificial Intelligence,Basic,Daily,123,Monthly,12,36,79,30/04/2023,0,1,4,Direct,0,9
2412,29,10-Jun-23,11,PredictEdge,Artificial Intelligence,Enterprise,Weekly,3117,Lifetime,13,15,70,01/01/2023,0,5,4,Social Media,0,17
522,32,08-Jul-23,12,DeepMindX,Artificial Intelligence,Basic,Monthly,1806,Annual,2,7,47,24/03/2023,0,4,2,Advertisement,0,16
2006,35,04-Feb-22,9,NeuroVision,Artificial Intelligence,Basic,Monthly,1165,Lifetime,2,30,40,09/08/2023,1,2,3,Social Media,0,24
4141,39,28-Jul-23,10,LinguoSense,Artificial Intelligence,Free,Weekly,3865,Lifetime,5,2,38,01/02/2024,0,1,5,Social Media,0,22
1709,44,19-Sep-23,9,NeuroVision,Artificial Intelligence,Pro,Daily,2286,Lifetime,25,46,39,10/09/2023,0,8,4,Email,0,10
2480,56,01-Sep-22,11,PredictEdge,Artificial Intelligence,Basic,Weekly,2464,Annual,7,11,37,27/10/2023,0,9,3,Direct,0,16
4133,68,18-Apr-22,10,LinguoSense,Artificial Intelligence,Free,Monthly,2830,Monthly,3,37,81,19/02/2023,1,4,2,Email,0,6
4835,74,03-Feb-22,10,LinguoSense,Artificial Intelligence,Free,Daily,2973,Lifetime,3,21,36,17/10/2023,0,7,5,Advertisement,1,23
4847,77,09-Aug-23,10,LinguoSense,Artificial Intelligence,Basic,Weekly,3478,Annual,19,35,69,01/11/2023,0,3,4,Referral,0,10
2051,81,17-Aug-22,11,PredictEdge,Artificial Intelligence,Enterprise,Weekly,4652,Monthly,14,39,20,04/02/2024,0,8,5,Advertisement,0,26
1483,83,27-Dec-23,9,NeuroVision,Artificial Intelligence,Free,Weekly,4666,Lifetime,29,31,74,02/11/2023,0,4,3,Direct,1,14
4741,88,01-May-23,10,LinguoSense,Artificial Intelligence,Free,Monthly,418,Lifetime,5,28,33,08/03/2023,0,9,5,Email,0,14
4109,89,02-Aug-22,11,PredictEdge,Artificial Intelligence,Enterprise,Weekly,4574,Annual,8,43,71,03/11/2023,0,7,5,Referral,0,21
2241,93,04-Feb-23,11,PredictEdge,Artificial Intelligence,Basic,Weekly,2488,Annual,26,26,82,24/12/2023,0,6,3,Direct,0,27
2628,95,15-May-22,10,LinguoSense,Artificial Intelligence,Free,Monthly,3647,Monthly,2,15,84,20/09/2023,0,1,2,Referral,0,11
208,97,04-Nov-23,11,PredictEdge,Artificial Intelligence,Basic,Weekly,2376,Annual,15,43,35,21/08/2023,0,3,5,Email,0,5
2133,98,30-Oct-22,9,NeuroVision,Artificial Intelligence,Enterprise,Daily,267,Monthly,18,24,56,26/08/2023,1,4,5,Social Media,1,0
2937,100,13-May-22,9,NeuroVision,Artificial Intelligence,Enterprise,Weekly,905,Monthly,11,3,99,28/08/2023,0,4,3,Advertisement,0,13
4962,102,16-May-22,12,DeepMindX,Artificial Intelligence,Free,Weekly,775,Lifetime,23,48,94,28/09/2023,0,5,4,Social Media,0,10
1398,105,04-Jul-23,10,LinguoSense,Artificial Intelligence,Basic,Daily,772,Annual,12,0,25,17/05/2023,0,6,5,Referral,0,14
