Customer_ID,Order_ID,Subscription_Date,Product_ID,Product_Name,Category,Subscription_Type,Usage_Frequency,Revenue_Per_Customer,Payment_Plan,Discount_Applied,Support_Tickets,Feature_Adoption,Last_Login,Churn_Status,Customer_Tenure,Customer_Satisfaction,Marketing_Channel,Contract_Renewal,Num_Logins_Last_Month
4203,2,2025-02-17,16,ServerNexus,Cloud Services,Pro,Monthly,1283,Lifetime,29,32,89,23/04/2023,1,7,4,Advertisement,1,0
2237,3,2025-01-06,16,ServerNexus,Cloud Services,Enterprise,Monthly,468,Monthly,29,27,63,02/04/2023,1,2,4,Direct,0,24
175,8,2025-08-23,15,EdgeSync,Cloud Services,Enterprise,Weekly,2157,Monthly,3,21,55,21/02/2024,1,8,3,Email,1,17
1224,9,2025-01-25,13,CloudHorizon,Cloud Services,Pro,Daily,2528,Lifetime,21,15,70,02/02/2024,0,6,4,Advertisement,1,17
1541,11,2025-10-26,15,EdgeSync,Cloud Services,Enterprise,Daily,2814,Monthly,4,33,84,12/10/2023,0,5,5,Email,0,25
2624,12,2025-01-06,16,ServerNexus,Cloud Services,Basic,Weekly,1421,Monthly,9,23,55,30/11/2023,0,1,3,Referral,0,5
2552,13,2025-12-10,14,SkyCompute,Cloud Services,Free,Weekly,806,Monthly,18,0,33,18/11/2023,0,9,2,Social Media,0,15
4870,15,2025-11-15,16,ServerNexus,Cloud Services,Enterprise,Daily,4410,Monthly,11,31,27,02/06/2023,0,7,1,Advertisement,0,23
143,19,2025-01-12,14,SkyCompute,Cloud Services,Free,Weekly,2298,Annual,4,39,94,23/02/2024,0,6,5,Social Media,0,22
2637,28,2025-02-21,14,SkyCompute,Cloud Services,Pro,Monthly,2932,Lifetime,21,34,67,17/02/2024,0,7,5,Social Media,0,26
2567,30,2025-02-14,14,SkyCompute,Cloud Services,Free,Daily,1181,Lifetime,29,42,74,28/01/2024,0,2,1,Referral,0,0
1618,31,2025-11-14,16,ServerNexus,Cloud Services,Pro,Weekly,1282,Annual,2,19,77,22/02/2024,0,6,1,Advertisement,0,4
2862,33,2025-03-09,13,CloudHorizon,Cloud Services,Enterprise,Monthly,1579,Monthly,10,6,40,12/09/2023,0,1,2,Direct,0,23
3428,36,2025-10-06,13,CloudHorizon,Cloud Services,Pro,Monthly,2882,Annual,4,4,22,09/08/2023,0,7,5,Direct,0,10
3350,37,2025-12-10,13,CloudHorizon,Cloud Services,Basic,Daily,2627,Monthly,6,38,71,06/02/2023,0,4,2,Direct,0,25
3495,40,2025-05-19,15,EdgeSync,Cloud Services,Basic,Monthly,1869,Annual,14,14,40,17/01/2024,0,4,3,Advertisement,0,26
4018,48,2025-08-13,14,SkyCompute,Cloud Services,Basic,Monthly,2122,Lifetime,25,10,74,07/11/2023,0,2,1,Social Media,0,23
322,50,2025-12-11,16,ServerNexus,Cloud Services,Free,Monthly,2119,Lifetime,21,8,96,07/02/2023,0,2,4,Email,0,27
2938,51,2025-05-19,13,CloudHorizon,Cloud Services,Free,Monthly,2070,Lifetime,2,20,86,01/02/2024,0,8,3,Email,0,11
3695,53,2025-11-13,15,EdgeSync,Cloud Services,Enterprise,Daily,974,Monthly,26,47,63,25/02/2023,0,6,1,Advertisement,1,9
3301,61,2025-05-26,15,EdgeSync,Cloud Services,Enterprise,Monthly,4398,Lifetime,17,5,24,26/06/2023,1,9,5,Social Media,1,4
2823,64,2025-05-10,16,ServerNexus,Cloud Services,Free,Monthly,2231,Annual,23,46,70,24/11/2023,1,3,4,Advertisement,0,8
3883,72,2025-11-10,15,EdgeSync,Cloud Services,Basic,Daily,3113,Monthly,9,35,89,31/03/2023,1,5,3,Direct,0,7
4615,80,2025-01-12,14,SkyCompute,Cloud Services,Basic,Monthly,1633,Monthly,28,26,69,17/05/2023,0,1,5,Email,0,18
2477,91,2025-12-30,13,CloudHorizon,Cloud Services,Pro,Monthly,4181,Annual,2,48,83,13/11/2023,0,3,1,Referral,0,28
1106,99,2025-03-20,16,ServerNexus,Cloud Services,Free,Weekly,1701,Annual,14,17,23,20/10/2023,0,5,3,Social Media,0,15
4452,104,2025-07-21,13,CloudHorizon,Cloud Services,Pro,Daily,952,Monthly,28,33,85,22/04/2023,0,1,3,Email,0,7
1199,113,2025-07-02,14,SkyCompute,Cloud Services,Free,Daily,2947,Annual,24,15,85,17/01/2023,0,5,4,Direct,0,20
1709,120,2025-01-20,14,SkyCompute,Cloud Services,Enterprise,Monthly,1381,Monthly,4,16,52,08/01/2023,0,1,1,Email,0,21
2823,121,2025-08-17,13,CloudHorizon,Cloud Services,Basic,Monthly,1332,Monthly,8,21,32,19/07/2023,0,5,4,Social Media,0,2
4612,126,2025-06-05,14,SkyCompute,Cloud Services,Free,Daily,2243,Annual,25,23,46,15/01/2023,1,7,5,Social Media,0,19
3470,131,2025-09-21,15,EdgeSync,Cloud Services,Free,Monthly,4131,Annual,24,11,37,10/02/2024,0,9,1,Direct,0,8
3341,133,2025-04-19,13,CloudHorizon,Cloud Services,Enterprise,Weekly,4101,Lifetime,18,8,68,25/01/2024,0,7,2,Email,0,19
1677,134,2025-03-14,14,SkyCompute,Cloud Services,Pro,Daily,1716,Lifetime,14,46,61,25/12/2023,0,2,3,Direct,1,27
2753,137,2025-11-05,13,CloudHorizon,Cloud Services,Free,Monthly,2730,Monthly,27,28,67,28/01/2024,0,4,1,Direct,0,13
1595,143,2025-05-17,13,CloudHorizon,Cloud Services,Enterprise,Monthly,1995,Annual,27,40,58,06/07/2023,0,9,3,Email,0,10
2645,151,2025-09-13,16,ServerNexus,Cloud Services,Free,Daily,4917,Annual,13,38,22,09/08/2023,1,3,3,Social Media,0,29
1806,154,2025-08-23,15,EdgeSync,Cloud Services,Pro,Daily,641,Lifetime,19,18,90,23/05/2023,0,4,4,Social Media,0,22
2518,161,2025-12-08,14,SkyCompute,Cloud Services,Basic,Daily,2287,Annual,23,30,85,21/03/2023,1,7,1,Direct,0,7
2530,167,2025-03-11,15,EdgeSync,Cloud Services,Basic,Weekly,2506,Annual,0,44,41,03/07/2023,0,6,5,Referral,1,27
25,171,2025-11-13,14,SkyCompute,Cloud Services,Pro,Monthly,1981,Lifetime,3,16,25,16/09/2023,0,1,3,Social Media,0,27
529,172,2025-01-05,13,CloudHorizon,Cloud Services,Basic,Weekly,4676,Lifetime,4,21,29,07/04/2023,0,8,2,Social Media,0,29
3464,174,2025-07-23,15,EdgeSync,Cloud Services,Free,Monthly,1141,Annual,0,6,69,17/09/2023,0,9,1,Direct,0,25
2128,180,2025-04-07,13,CloudHorizon,Cloud Services,Basic,Daily,1349,Annual,5,17,40,29/10/2023,0,8,2,Email,1,28
327,183,2025-04-17,14,SkyCompute,Cloud Services,Free,Monthly,2484,Monthly,11,35,34,19/04/2023,0,6,2,Advertisement,1,25
2198,184,2025-12-25,14,SkyCompute,Cloud Services,Basic,Daily,4488,Annual,6,35,93,14/01/2024,0,7,3,Advertisement,0,14
1010,188,2025-04-20,15,EdgeSync,Cloud Services,Enterprise,Monthly,3999,Lifetime,11,30,62,06/02/2024,0,5,2,Direct,0,25
4157,189,2025-08-29,14,SkyCompute,Cloud Services,Basic,Daily,2568,Annual,26,48,60,18/02/2024,0,2,2,Referral,1,16
1579,191,2025-03-22,15,EdgeSync,Cloud Services,Enterprise,Daily,4432,Monthly,17,21,83,04/02/2023,1,9,3,Direct,1,29
3022,202,2025-05-21,14,SkyCompute,Cloud Services,Basic,Daily,3881,Lifetime,26,41,84,04/12/2023,0,7,4,Social Media,0,0
522,203,2025-02-17,15,EdgeSync,Cloud Services,Free,Weekly,3603,Lifetime,2,4,25,20/04/2023,0,7,1,Direct,0,1
3233,204,2025-05-05,15,EdgeSync,Cloud Services,Enterprise,Monthly,4466,Annual,27,22,59,09/08/2023,1,9,2,Email,1,15
1931,205,2025-07-23,13,CloudHorizon,Cloud Services,Enterprise,Monthly,3184,Lifetime,3,24,68,03/03/2023,0,8,3,Referral,0,5
140,208,2025-12-30,16,ServerNexus,Cloud Services,Pro,Daily,1711,Annual,23,35,75,23/07/2023,0,2,4,Advertisement,0,3
180,209,2025-01-09,13,CloudHorizon,Cloud Services,Free,Monthly,973,Annual,24,15,45,06/07/2023,0,9,5,Social Media,0,7
801,216,2025-10-08,14,SkyCompute,Cloud Services,Enterprise,Weekly,2388,Monthly,29,47,77,19/01/2024,1,2,1,Social Media,0,26
3268,229,2025-05-21,13,CloudHorizon,Cloud Services,Enterprise,Weekly,1877,Monthly,25,44,70,22/12/2023,0,9,2,Direct,1,5
3439,234,2025-02-03,15,EdgeSync,Cloud Services,Basic,Weekly,4224,Lifetime,8,39,79,08/01/2024,0,6,4,Social Media,0,14
847,238,2025-03-23,14,SkyCompute,Cloud Services,Pro,Monthly,1390,Lifetime,10,27,74,10/07/2023,0,5,1,Social Media,0,23
856,239,2025-07-31,14,SkyCompute,Cloud Services,Free,Daily,2290,Annual,10,48,51,06/06/2023,0,5,4,Advertisement,0,9
2788,253,2025-11-08,13,CloudHorizon,Cloud Services,Pro,Daily,3943,Monthly,10,31,99,14/01/2024,0,7,5,Social Media,1,9
2210,266,2025-04-21,14,SkyCompute,Cloud Services,Basic,Weekly,4870,Lifetime,17,30,54,17/11/2023,0,1,3,Direct,0,15
3131,269,2025-12-19,16,ServerNexus,Cloud Services,Pro,Monthly,1360,Monthly,7,5,75,15/01/2024,0,5,5,Social Media,0,8
4139,278,2025-09-06,14,SkyCompute,Cloud Services,Enterprise,Daily,3721,Lifetime,25,20,84,21/08/2023,0,5,1,Social Media,0,7
885,285,2025-01-31,16,ServerNexus,Cloud Services,Basic,Weekly,1379,Annual,10,44,90,07/01/2024,0,3,4,Referral,0,4
2501,288,2025-01-25,15,EdgeSync,Cloud Services,Basic,Monthly,348,Monthly,10,34,40,04/02/2024,0,6,1,Referral,0,14
4016,304,2025-01-15,15,EdgeSync,Cloud Services,Enterprise,Weekly,4014,Lifetime,5,49,67,14/12/2023,0,8,5,Advertisement,0,10
1302,305,2025-02-16,15,EdgeSync,Cloud Services,Basic,Daily,4873,Lifetime,26,31,76,17/01/2023,0,6,3,Direct,0,3
1347,308,2025-12-10,15,EdgeSync,Cloud Services,Pro,Daily,2423,Annual,9,37,70,21/05/2023,0,4,5,Email,1,21
943,311,2025-03-25,16,ServerNexus,Cloud Services,Basic,Daily,4697,Monthly,19,35,68,08/06/2023,0,3,1,Advertisement,0,6
1130,319,2025-12-24,15,EdgeSync,Cloud Services,Basic,Monthly,527,Monthly,24,48,94,23/07/2023,0,6,4,Social Media,1,20
4289,320,2025-06-18,16,ServerNexus,Cloud Services,Free,Daily,2967,Annual,7,1,70,03/05/2023,0,8,4,Advertisement,1,1
2142,322,2025-06-05,16,ServerNexus,Cloud Services,Free,Weekly,4158,Lifetime,27,38,94,04/06/2023,0,9,1,Referral,0,10
826,330,2025-02-23,13,CloudHorizon,Cloud Services,Free,Weekly,4997,Lifetime,22,7,58,14/04/2023,0,8,3,Direct,0,19
2014,342,2025-09-14,13,CloudHorizon,Cloud Services,Free,Monthly,3348,Lifetime,8,43,27,02/11/2023,0,5,2,Email,1,25
567,345,2025-01-15,15,EdgeSync,Cloud Services,Pro,Monthly,3688,Annual,8,24,95,19/10/2023,0,5,1,Direct,0,5
278,358,2025-10-17,14,SkyCompute,Cloud Services,Pro,Daily,4040,Monthly,2,31,48,29/11/2023,0,5,3,Advertisement,1,26
3962,371,2025-11-20,13,CloudHorizon,Cloud Services,Free,Daily,3593,Lifetime,8,0,57,26/03/2023,0,3,3,Advertisement,0,24
2077,374,2025-05-29,13,CloudHorizon,Cloud Services,Pro,Monthly,4655,Monthly,20,14,42,21/10/2023,0,1,3,Direct,0,12
814,375,2025-07-23,15,EdgeSync,Cloud Services,Pro,Monthly,4046,Lifetime,9,0,44,20/09/2023,0,8,2,Direct,0,2
2437,378,2025-10-10,16,ServerNexus,Cloud Services,Basic,Weekly,4150,Annual,1,26,42,02/01/2023,0,6,1,Email,1,15
933,381,2025-02-10,15,EdgeSync,Cloud Services,Enterprise,Weekly,2103,Monthly,23,6,90,03/08/2023,0,5,5,Referral,1,6
2059,387,2025-08-10,16,ServerNexus,Cloud Services,Basic,Monthly,231,Lifetime,26,16,73,09/08/2023,0,5,3,Referral,0,19
1416,391,2025-09-27,16,ServerNexus,Cloud Services,Free,Monthly,185,Annual,10,27,96,15/01/2023,0,4,3,Social Media,0,18
1247,399,2025-03-26,15,EdgeSync,Cloud Services,Basic,Daily,3544,Lifetime,21,6,70,04/02/2023,0,4,5,Advertisement,1,5
3619,405,2025-02-16,13,CloudHorizon,Cloud Services,Pro,Weekly,1616,Monthly,23,33,76,07/07/2023,1,5,2,Direct,1,15
2163,412,2025-08-12,16,ServerNexus,Cloud Services,Pro,Weekly,4989,Lifetime,20,46,90,19/04/2023,0,6,5,Social Media,0,20
2934,413,2025-08-07,15,EdgeSync,Cloud Services,Enterprise,Monthly,1384,Lifetime,1,14,50,28/09/2023,0,3,3,Direct,0,1
3033,419,2025-05-23,15,EdgeSync,Cloud Services,Free,Daily,3583,Annual,24,45,45,06/02/2024,0,7,5,Email,0,5
995,433,2025-01-01,14,SkyCompute,Cloud Services,Free,Daily,3317,Monthly,21,46,67,27/01/2024,0,6,3,Advertisement,1,9
2954,435,2025-03-28,16,ServerNexus,Cloud Services,Free,Weekly,2604,Monthly,11,27,28,12/05/2023,0,6,2,Email,1,1
906,438,2025-11-24,15,EdgeSync,Cloud Services,Free,Weekly,1728,Monthly,29,13,73,20/06/2023,0,1,4,Referral,0,24
2971,448,2025-09-15,15,EdgeSync,Cloud Services,Free,Monthly,4397,Monthly,10,14,22,13/11/2023,0,9,4,Direct,0,8
3924,449,2025-10-26,13,CloudHorizon,Cloud Services,Free,Weekly,1798,Annual,7,11,95,29/01/2023,0,6,1,Referral,1,19
3008,451,2025-01-08,13,CloudHorizon,Cloud Services,Enterprise,Weekly,4657,Annual,13,30,51,08/04/2023,0,4,2,Email,0,4
2326,455,2025-03-12,13,CloudHorizon,Cloud Services,Basic,Daily,4581,Lifetime,9,16,21,23/07/2023,0,2,1,Email,0,6
4025,458,2025-01-05,13,CloudHorizon,Cloud Services,Basic,Daily,3274,Annual,13,42,53,08/07/2023,0,3,1,Direct,1,15
4577,462,2025-01-23,15,EdgeSync,Cloud Services,Enterprise,Daily,2491,Lifetime,28,0,52,20/10/2023,0,7,5,Referral,0,8
187,465,2025-08-17,15,EdgeSync,Cloud Services,Enterprise,Monthly,4642,Lifetime,10,12,54,26/03/2023,0,4,5,Advertisement,0,4
1276,466,2025-08-18,16,ServerNexus,Cloud Services,Free,Daily,3692,Annual,20,10,67,23/12/2023,1,4,4,Referral,0,24
1490,469,2025-02-26,13,CloudHorizon,Cloud Services,Basic,Weekly,1089,Annual,12,7,36,01/06/2023,0,3,1,Social Media,1,24
2496,475,2025-12-25,15,EdgeSync,Cloud Services,Enterprise,Daily,4845,Annual,19,2,24,24/06/2023,0,3,4,Direct,0,12
3422,477,2025-06-10,14,SkyCompute,Cloud Services,Free,Monthly,4049,Monthly,11,31,30,25/05/2023,0,9,4,Direct,0,16
1605,480,2025-12-16,16,ServerNexus,Cloud Services,Pro,Monthly,2933,Lifetime,29,22,45,21/02/2024,0,4,4,Direct,0,15
2709,484,2025-01-26,16,ServerNexus,Cloud Services,Basic,Monthly,4994,Annual,25,36,75,15/03/2023,0,2,2,Direct,0,7
1488,497,2025-06-17,14,SkyCompute,Cloud Services,Enterprise,Daily,1978,Annual,6,35,44,07/05/2023,1,9,2,Advertisement,0,19
934,505,2025-06-19,15,EdgeSync,Cloud Services,Pro,Monthly,1995,Monthly,10,37,91,03/02/2024,0,4,3,Referral,0,15
3116,506,2025-09-16,16,ServerNexus,Cloud Services,Enterprise,Weekly,1807,Lifetime,27,35,93,18/12/2023,0,8,3,Direct,0,10
3624,512,2025-03-16,15,EdgeSync,Cloud Services,Free,Weekly,2906,Annual,7,7,73,05/09/2023,0,9,3,Direct,0,10
2067,517,2025-11-20,13,CloudHorizon,Cloud Services,Enterprise,Weekly,4670,Lifetime,4,44,85,28/03/2023,0,3,3,Social Media,1,19
518,527,2025-06-12,15,EdgeSync,Cloud Services,Enterprise,Monthly,4536,Annual,8,45,25,29/11/2023,0,8,1,Referral,0,19
4850,528,2025-07-28,15,EdgeSync,Cloud Services,Free,Daily,1995,Annual,24,33,30,24/04/2023,0,7,5,Advertisement,1,26
287,534,2025-02-10,16,ServerNexus,Cloud Services,Enterprise,Daily,1176,Annual,15,10,22,24/02/2023,0,2,4,Email,0,29
3025,539,2025-08-16,15,EdgeSync,Cloud Services,Basic,Daily,4616,Monthly,2,7,56,28/02/2023,0,6,4,Direct,0,19
3249,545,2025-04-22,14,SkyCompute,Cloud Services,Basic,Monthly,4405,Monthly,8,22,74,04/06/2023,1,8,2,Advertisement,0,24
1000,546,2025-10-19,14,SkyCompute,Cloud Services,Free,Daily,3454,Monthly,4,35,20,06/06/2023,0,4,3,Advertisement,0,8
3070,550,2025-03-18,13,CloudHorizon,Cloud Services,Basic,Daily,3509,Lifetime,14,32,99,20/03/2023,0,8,1,Direct,0,29
1287,561,2025-09-16,14,SkyCompute,Cloud Services,Enterprise,Monthly,2771,Monthly,25,27,87,11/02/2023,0,6,4,Social Media,1,0
4759,567,2025-09-24,13,CloudHorizon,Cloud Services,Pro,Monthly,2988,Monthly,11,42,60,14/10/2023,0,9,4,Direct,0,8
4606,571,2025-12-25,16,ServerNexus,Cloud Services,Pro,Monthly,1863,Annual,5,15,51,05/03/2023,0,2,2,Advertisement,0,8
3746,577,2025-07-03,16,ServerNexus,Cloud Services,Pro,Monthly,3032,Monthly,19,42,97,18/01/2023,0,7,5,Direct,0,19
214,578,2025-09-21,13,CloudHorizon,Cloud Services,Free,Weekly,3784,Lifetime,17,5,96,11/07/2023,0,5,2,Direct,0,7
351,587,2025-01-21,14,SkyCompute,Cloud Services,Enterprise,Monthly,3680,Monthly,8,15,51,17/01/2024,1,1,5,Advertisement,1,18
2375,589,2025-07-08,16,ServerNexus,Cloud Services,Pro,Daily,522,Monthly,9,21,37,28/06/2023,1,1,5,Email,0,26
4951,593,2025-01-26,13,CloudHorizon,Cloud Services,Basic,Weekly,3538,Annual,16,45,98,02/12/2023,0,9,3,Advertisement,0,3
4150,595,2025-04-07,16,ServerNexus,Cloud Services,Enterprise,Weekly,4816,Monthly,14,10,33,02/09/2023,0,8,3,Direct,0,8
1099,606,2025-02-25,13,CloudHorizon,Cloud Services,Pro,Daily,1628,Annual,23,12,37,01/12/2023,0,2,4,Advertisement,0,29
3898,610,2025-01-19,14,SkyCompute,Cloud Services,Free,Monthly,341,Annual,12,44,86,09/08/2023,0,8,1,Referral,0,11
3453,612,2025-07-10,15,EdgeSync,Cloud Services,Basic,Daily,3737,Annual,17,11,88,04/07/2023,0,1,2,Email,1,7
3400,613,2025-01-20,16,ServerNexus,Cloud Services,Pro,Daily,3782,Annual,19,20,63,02/02/2023,0,4,2,Social Media,0,14
4247,614,2025-01-03,13,CloudHorizon,Cloud Services,Free,Monthly,4601,Annual,21,8,82,21/07/2023,0,6,4,Referral,0,14
346,620,2025-02-22,13,CloudHorizon,Cloud Services,Pro,Weekly,2215,Lifetime,5,18,57,20/02/2023,0,7,5,Direct,0,5
887,622,2025-01-04,16,ServerNexus,Cloud Services,Enterprise,Weekly,3179,Annual,2,46,89,02/03/2023,1,7,5,Referral,0,9
3848,636,2025-02-26,14,SkyCompute,Cloud Services,Pro,Weekly,3338,Lifetime,21,10,78,24/08/2023,0,1,4,Advertisement,0,23
1855,639,2025-03-11,14,SkyCompute,Cloud Services,Enterprise,Monthly,4944,Annual,6,42,61,28/04/2023,0,2,5,Social Media,0,19
4190,643,2025-05-19,16,ServerNexus,Cloud Services,Enterprise,Monthly,1407,Monthly,11,36,39,22/03/2023,0,6,3,Referral,1,24
3323,644,2025-05-12,13,CloudHorizon,Cloud Services,Free,Monthly,3474,Annual,22,38,63,06/08/2023,0,8,1,Social Media,1,5
4896,645,2025-06-04,14,SkyCompute,Cloud Services,Free,Monthly,2015,Monthly,24,33,98,05/02/2023,0,1,5,Direct,0,24
3422,477,2025-06-10,14,SkyCompute,Cloud Services,Free,Monthly,4049,Monthly,11,31,30,25/05/2023,0,9,4,Direct,0,16
1445,658,2025-07-24,13,CloudHorizon,Cloud Services,Free,Weekly,3443,Monthly,13,42,71,05/03/2023,0,7,5,Advertisement,0,29
1808,659,2025-11-29,16,ServerNexus,Cloud Services,Free,Weekly,640,Monthly,4,31,66,04/12/2023,0,8,4,Advertisement,0,26
2571,663,2025-07-09,14,SkyCompute,Cloud Services,Pro,Monthly,2308,Annual,29,12,38,02/07/2023,0,5,5,Email,0,25
286,670,2025-01-31,16,ServerNexus,Cloud Services,Enterprise,Monthly,659,Monthly,10,7,23,25/03/2023,0,7,1,Email,0,23
3968,678,2025-12-17,15,EdgeSync,Cloud Services,Pro,Monthly,2874,Monthly,4,20,79,21/04/2023,1,5,1,Email,0,27
812,681,2025-04-21,16,ServerNexus,Cloud Services,Enterprise,Daily,2988,Lifetime,20,31,57,09/10/2023,1,5,4,Direct,0,1
4662,682,2025-09-11,15,EdgeSync,Cloud Services,Free,Monthly,597,Monthly,26,23,28,05/11/2023,0,4,4,Email,0,15
3983,685,2025-09-02,14,SkyCompute,Cloud Services,Basic,Weekly,575,Annual,13,42,51,06/02/2023,0,8,1,Direct,0,28
2330,688,2025-03-24,15,EdgeSync,Cloud Services,Enterprise,Monthly,304,Monthly,7,18,36,22/02/2023,1,5,4,Email,1,5
769,690,2025-04-21,16,ServerNexus,Cloud Services,Free,Daily,4894,Monthly,1,42,53,24/04/2023,0,8,2,Email,1,13
3640,692,2025-02-16,15,EdgeSync,Cloud Services,Pro,Monthly,1474,Lifetime,25,26,75,24/02/2023,0,6,3,Social Media,1,18
4762,693,2025-07-31,13,CloudHorizon,Cloud Services,Enterprise,Daily,4037,Annual,28,34,25,30/05/2023,0,2,2,Social Media,0,15
2391,696,2025-05-17,16,ServerNexus,Cloud Services,Basic,Daily,2314,Monthly,2,41,64,24/11/2023,0,5,2,Advertisement,1,11
1542,697,2025-08-10,16,ServerNexus,Cloud Services,Free,Weekly,3112,Annual,20,29,96,23/09/2023,0,4,4,Direct,0,10
331,701,2025-11-04,15,EdgeSync,Cloud Services,Pro,Weekly,1904,Lifetime,24,26,58,09/07/2023,0,8,4,Direct,0,16
4596,707,2025-03-26,16,ServerNexus,Cloud Services,Pro,Monthly,4549,Lifetime,22,3,61,18/03/2023,0,9,4,Social Media,1,3
682,710,2025-11-18,16,ServerNexus,Cloud Services,Enterprise,Monthly,2689,Monthly,22,44,65,22/11/2023,0,9,5,Referral,0,2
2240,722,2025-03-09,15,EdgeSync,Cloud Services,Pro,Monthly,3367,Monthly,11,9,62,07/10/2023,0,7,2,Email,0,4
4515,732,2025-11-12,16,ServerNexus,Cloud Services,Free,Monthly,4728,Lifetime,8,45,60,06/06/2023,1,9,4,Advertisement,0,7
1455,735,2025-08-12,14,SkyCompute,Cloud Services,Free,Daily,3426,Lifetime,5,0,38,29/04/2023,0,5,5,Advertisement,0,1
1875,736,2025-10-01,16,ServerNexus,Cloud Services,Pro,Daily,885,Annual,2,41,84,03/01/2023,0,9,3,Social Media,1,11
142,739,2025-10-05,13,CloudHorizon,Cloud Services,Pro,Daily,1023,Annual,5,46,54,16/07/2023,1,3,3,Referral,0,11
4176,747,2025-07-05,13,CloudHorizon,Cloud Services,Free,Monthly,1443,Annual,20,10,86,02/02/2024,0,3,2,Referral,0,13
1618,750,2025-10-01,13,CloudHorizon,Cloud Services,Enterprise,Weekly,4319,Lifetime,13,31,27,17/01/2024,1,3,2,Advertisement,0,23
4512,760,2025-01-29,14,SkyCompute,Cloud Services,Free,Daily,3173,Monthly,11,23,65,16/10/2023,0,3,5,Referral,0,4
565,766,2025-04-19,16,ServerNexus,Cloud Services,Free,Weekly,859,Lifetime,20,48,26,07/05/2023,0,7,5,Social Media,1,19
1663,771,2025-03-25,15,EdgeSync,Cloud Services,Enterprise,Monthly,1559,Lifetime,25,2,79,19/11/2023,1,1,2,Email,1,23
3563,776,2025-07-16,13,CloudHorizon,Cloud Services,Basic,Monthly,552,Lifetime,12,39,43,28/10/2023,1,5,2,Advertisement,0,28
2668,778,2025-03-17,14,SkyCompute,Cloud Services,Basic,Weekly,180,Annual,21,20,73,02/05/2023,0,4,2,Referral,0,22
4961,783,2025-05-14,14,SkyCompute,Cloud Services,Basic,Daily,3506,Lifetime,21,45,70,16/06/2023,0,3,3,Advertisement,1,23
1101,790,2025-02-14,15,EdgeSync,Cloud Services,Free,Daily,973,Annual,11,15,59,12/07/2023,1,1,4,Advertisement,0,25
3205,792,2025-10-31,13,CloudHorizon,Cloud Services,Pro,Weekly,4310,Lifetime,28,42,20,01/03/2023,0,2,2,Advertisement,0,13
4329,800,2025-02-28,15,EdgeSync,Cloud Services,Enterprise,Weekly,2017,Monthly,13,0,91,05/08/2023,0,5,1,Direct,0,27
2621,804,2025-09-03,13,CloudHorizon,Cloud Services,Free,Weekly,4901,Lifetime,14,35,73,07/08/2023,1,1,4,Advertisement,0,23
1851,805,2025-06-29,14,SkyCompute,Cloud Services,Enterprise,Monthly,3986,Monthly,25,18,50,15/12/2023,0,8,2,Social Media,1,4
4411,806,2025-03-26,14,SkyCompute,Cloud Services,Basic,Weekly,4431,Annual,13,27,92,08/05/2023,0,3,2,Referral,0,21
908,811,2025-08-03,16,ServerNexus,Cloud Services,Enterprise,Weekly,187,Annual,26,25,37,25/06/2023,0,7,3,Advertisement,0,8
201,814,2025-08-19,15,EdgeSync,Cloud Services,Enterprise,Weekly,1173,Monthly,19,12,68,03/04/2023,0,2,3,Referral,0,16
