Customer_ID,Order_ID,Subscription_Date,Product_ID,Product_Name,Category,Subscription_Type,Usage_Frequency,Revenue_Per_Customer,Payment_Plan,Discount_Applied,Support_Tickets,Feature_Adoption,Last_Login,Churn_Status,Customer_Tenure,Customer_Satisfaction,Marketing_Channel,Contract_Renewal,Num_Logins_Last_Month
2454,1,03/07/2023,19,ScriptEase,Development Tools,Basic,Monthly,2097,Annual,24,19,36,10/12/2023,0,9,3,Referral,0,25
2167,5,20/09/2022,18,DevSync,Development Tools,Enterprise,Weekly,324,Annual,18,33,84,08/05/2023,0,5,5,Referral,0,25
2063,6,26/10/2023,19,ScriptEase,Development Tools,Enterprise,Daily,1701,Lifetime,29,28,37,26/10/2023,0,8,2,Referral,0,7
4211,22,22/02/2022,19,ScriptEase,Development Tools,Enterprise,Daily,3649,Lifetime,17,27,90,23/06/2023,0,8,2,Direct,1,17
1636,24,03/11/2022,19,ScriptEase,Development Tools,Enterprise,Monthly,2047,Annual,25,5,23,12/08/2023,0,9,5,Advertisement,0,14
3243,,10/06/2023,19,ScriptEase,Development Tools,Basic,Daily,693,Lifetime,15,21,86,25/01/2024,0,5,3,Advertisement,0,22
1632,26,17/08/2022,18,DevSync,Development Tools,Basic,Weekly,1250,Monthly,13,16,60,07/03/2023,0,1,2,Referral,0,19
1636,42,03/04/2023,20,APIConnect,Development Tools,Enterprise,Weekly,1577,Lifetime,12,29,90,16/04/2023,1,7,3,Social Media,0,21
2691,49,23/06/2023,18,DevSync,Development Tools,Free,Weekly,4936,Lifetime,24,20,37,26/03/2023,1,7,3,Email,0,28
,52,26/07/2022,18,DevSync,Development Tools,Pro,Weekly,4918,Lifetime,24,5,83,09/12/2023,0,1,2,Advertisement,1,0
3400,62,13/12/2023,19,ScriptEase,Development Tools,Free,Monthly,3270,Annual,2,12,63,27/12/2023,0,4,1,Email,0,21
2815,63,10/09/2022,19,ScriptEase,Development Tools,Free,Monthly,1005,Lifetime,20,39,44,05/01/2023,0,3,3,Referral,0,21
1445,65,10/09/2023,20,APIConnect,Development Tools,Free,Weekly,3183,Annual,12,45,63,21/02/2023,1,1,5,Advertisement,0,27
4237,71,20/05/2023,17,CodeFusion,Development Tools,Pro,Monthly,253,Annual,28,13,81,02/07/2023,1,1,2,Email,0,22
4970,78,08/02/2023,19,ScriptEase,Development Tools,Pro,Monthly,3030,Lifetime,29,23,97,06/04/2023,0,3,4,Referral,1,24
987,79,30/01/2024,19,ScriptEase,Development Tools,Free,Weekly,4829,Annual,8,12,45,10/03/2023,0,4,2,Email,0,27
514,86,16/04/2023,20,APIConnect,Development Tools,Free,Daily,3427,Monthly,5,33,87,22/02/2024,0,1,5,Referral,0,22
1504,94,22/06/2022,20,APIConnect,Development Tools,Enterprise,Weekly,4936,Annual,5,22,61,30/07/2023,0,3,5,Direct,0,25
2298,96,01/12/2023,19,ScriptEase,Development Tools,Enterprise,Daily,2811,Annual,9,19,90,21/05/2023,0,3,5,Referral,0,19
3386,107,26/09/2022,19,ScriptEase,Development Tools,Free,Weekly,906,Monthly,2,15,56,30/01/2023,0,4,3,Social Media,0,17
311,116,15/01/2024,20,APIConnect,Development Tools,Pro,Daily,4867,Lifetime,14,27,42,21/04/2023,0,7,1,Email,0,18
3799,119,03/08/2022,20,APIConnect,Development Tools,Enterprise,Monthly,1901,Monthly,12,18,36,29/09/2023,0,2,3,Advertisement,0,27
2806,122,27/03/2023,19,ScriptEase,Development Tools,Pro,Monthly,1237,Annual,25,15,93,26/05/2023,0,5,5,Direct,0,27
3313,125,05/02/2023,20,APIConnect,Development Tools,Enterprise,Monthly,282,Monthly,7,6,88,16/04/2023,0,2,3,Social Media,0,26
3343,128,30/05/2022,19,ScriptEase,Development Tools,Enterprise,Weekly,2036,Monthly,20,34,91,02/12/2023,0,2,5,Social Media,1,20
2670,140,09/07/2022,17,CodeFusion,Development Tools,Basic,Weekly,2007,Lifetime,2,29,42,18/03/2023,0,2,1,Referral,0,13
134,144,30/01/2022,18,DevSync,Development Tools,Free,Monthly,1459,Lifetime,14,44,21,03/01/2023,1,1,3,Social Media,0,16
1160,149,05/12/2022,19,ScriptEase,Development Tools,Free,Daily,2623,Annual,11,9,56,28/12/2023,1,7,3,Direct,0,5
4253,155,07/04/2023,20,APIConnect,Development Tools,Enterprise,Monthly,167,Monthly,29,20,52,26/12/2023,1,9,2,Direct,1,14
4884,160,20/01/2024,18,DevSync,Development Tools,Pro,Weekly,1356,Monthly,25,7,82,22/01/2023,1,7,3,Social Media,0,21
3764,170,27/04/2022,17,CodeFusion,Development Tools,Enterprise,Weekly,4722,Monthly,5,6,68,13/02/2023,1,7,5,Direct,0,0
1801,178,16/01/2022,20,APIConnect,Development Tools,Basic,Monthly,747,Lifetime,9,6,25,03/04/2023,0,2,5,Email,1,0
802,186,20/09/2022,17,CodeFusion,Development Tools,Enterprise,Daily,1771,Lifetime,25,32,37,20/01/2024,0,8,1,Referral,0,18
2477,187,14/06/2023,18,DevSync,Development Tools,Free,Daily,4484,Monthly,22,30,34,07/02/2024,0,7,2,Direct,0,28
2612,193,24/05/2023,20,APIConnect,Development Tools,Enterprise,Monthly,1054,Lifetime,24,32,46,18/09/2023,0,6,4,Direct,0,19
1150,194,09/12/2023,18,DevSync,Development Tools,Free,Daily,1177,Annual,2,9,26,26/04/2023,0,5,2,Social Media,1,28
260,207,30/06/2022,20,APIConnect,Development Tools,Enterprise,Monthly,1358,Annual,4,29,20,08/03/2023,1,6,2,Email,0,26
180,215,12/12/2022,17,CodeFusion,Development Tools,Basic,Weekly,2989,Lifetime,27,31,94,12/04/2023,0,6,5,Referral,1,25
1188,227,03/01/2023,17,CodeFusion,Development Tools,Basic,Monthly,2473,Monthly,14,46,47,09/11/2023,0,5,2,Email,0,5
2159,247,25/05/2022,20,APIConnect,Development Tools,Pro,Daily,3769,Monthly,18,9,66,28/05/2023,0,6,5,Referral,1,5
4315,255,04/01/2022,18,DevSync,Development Tools,Enterprise,Weekly,2474,Annual,25,10,71,09/01/2023,0,2,4,Referral,0,8
2530,259,31/12/2023,19,ScriptEase,Development Tools,Enterprise,Weekly,4179,Lifetime,10,37,46,23/04/2023,0,4,5,Referral,1,0
3567,262,06/10/2022,17,CodeFusion,Development Tools,Basic,Monthly,2188,Annual,5,33,76,26/08/2023,0,3,3,Referral,0,28
1707,267,08/01/2024,19,ScriptEase,Development Tools,Basic,Monthly,1899,Annual,6,15,29,13/11/2023,1,4,2,Social Media,1,19
4924,268,25/03/2023,18,DevSync,Development Tools,Enterprise,Monthly,3498,Lifetime,1,34,93,01/01/2024,1,7,5,Social Media,1,10
2750,272,28/09/2023,20,APIConnect,Development Tools,Free,Daily,3085,Annual,16,39,90,15/06/2023,0,3,3,Direct,1,23
2698,274,25/05/2023,18,DevSync,Development Tools,Pro,Monthly,2319,Lifetime,2,49,35,08/09/2023,0,5,5,Referral,0,6
3369,281,07/08/2022,19,ScriptEase,Development Tools,Free,Monthly,481,Lifetime,29,40,57,10/05/2023,0,7,5,Referral,0,28
2651,283,16/07/2023,17,CodeFusion,Development Tools,Basic,Monthly,4078,Monthly,15,20,70,31/07/2023,0,1,5,Email,0,3
1418,291,10/08/2022,17,CodeFusion,Development Tools,Basic,Monthly,1364,Monthly,26,3,70,27/02/2023,1,9,1,Referral,1,16
4398,292,27/09/2022,19,ScriptEase,Development Tools,Basic,Monthly,4740,Monthly,2,47,61,01/03/2023,0,5,1,Email,0,1
4572,293,28/05/2022,20,APIConnect,Development Tools,Pro,Daily,2056,Annual,17,48,23,26/01/2024,0,8,3,Advertisement,0,10
