Customer_ID,Order_ID,Subscription_Date,Product_ID,Product_Name,Category,Subscription_Type,Usage_Frequency,Revenue_Per_Customer,Payment_Plan,Discount_Applied,Support_Tickets,Feature_Adoption,Last_Login,Churn_Status,Customer_Tenure,Customer_Satisfaction,Marketing_Channel,Contract_Renewal,Num_Logins_Last_Month
4449,16,26/01/2023 00:00,2,TaskGenius,SaaS,,Weekly,4222,Annual,1,48,38,09/02/2024,1,6,3,Referral,1,0
116,21,21/04/2022 00:00,1,CognitiveFlow,SaaS,Free,Daily,1864,Monthly,9,15,33,29/09/2023,0,7,3,Email,0,26
3624,23,05/06/2023 00:00,1,CognitiveFlow,SaaS,Enterprise,Weekly,2005,Annual,12,30,52,24/11/2023,0,6,5,Email,1,27
4312,34,18/05/2022 00:00,3,SyncVault,SaaS,Enterprise,Monthly,2655,Lifetime,13,0,53,17/08/2023,0,7,2,Referral,0,1
547,38,22/11/2022 00:00,1,CognitiveFlow,SaaS,Basic,Weekly,2208,Lifetime,4,0,27,25/12/2023,0,4,4,Direct,0,24
744,43,11/09/2022 00:00,1,CognitiveFlow,SaaS,Pro,Weekly,1073,Monthly,16,37,22,07/06/2023,0,6,4,Direct,0,26
4602,45,17/11/2023 00:00,3,SyncVault,SaaS,Free,Weekly,545,Lifetime,24,19,30,19/04/2023,0,7,5,Direct,0,12
3026,46,18/05/2023 00:00,4,PulseDesk,SaaS,Free,Weekly,572,Monthly,18,21,90,16/12/2023,0,6,1,Referral,0,22
1997,47,05/11/2023 00:00,3,SyncVault,SaaS,Enterprise,Daily,283,Monthly,1,23,57,16/06/2023,0,5,5,Advertisement,0,24
2244,54,08/02/2023 00:00,2,TaskGenius,SaaS,Basic,Daily,951,Annual,29,2,61,21/04/2023,0,5,1,Advertisement,0,23
3550,57,11/09/2023 00:00,3,SyncVault,SaaS,Basic,Weekly,3459,Monthly,4,42,61,26/12/2023,1,5,2,Referral,1,12
3829,58,23/08/2022 00:00,2,TaskGenius,SaaS,Pro,Weekly,2455,Annual,4,14,57,26/01/2024,0,7,4,Social Media,0,24
1541,60,01/04/2022 00:00,1,CognitiveFlow,SaaS,Basic,Monthly,2633,Monthly,10,20,80,03/07/2023,0,8,5,Advertisement,0,26
826,66,04/01/2024 00:00,3,SyncVault,SaaS,Free,Weekly,731,Lifetime,4,12,57,27/01/2023,0,1,1,Referral,0,8
1113,70,05/01/2023 00:00,4,PulseDesk,SaaS,Free,Daily,2635,Lifetime,15,43,96,17/01/2024,1,5,2,Direct,0,25
