Customer_ID,Order_ID,Subscription_Date,Product_ID,Product_Name,Category,Subscription_Type,Usage_Frequency,Revenue_Per_Customer,Payment_Plan,Discount_Applied,Support_Tickets,Feature_Adoption,Last_Login,Churn_Status,Customer_Tenure,Customer_Satisfaction,Marketing_Channel,Contract_Renewal,Num_Logins_Last_Month
1920,4,07/05/2022,8,SecureAuth,Security,Free,Monthly,4481,Annual,18,17,76,10/05/2023,1,1,5,,1,26
87,10,13/09/2022,8,SecureAuth,Security,Basic,Monthly,3741,Monthly,4,48,68,28/01/2024,1,5,5,Advertisement,0,21
4190,18,30/06/2022,8,SecureAuth,Security,Basic,Daily,3470,Annual,25,24,68,22/02/2023,1,3,3,Advertisement,1,4
3372,20,06/03/2023,5,SentinelShield,Security,Enterprise,Weekly,3713,Lifetime,1,49,27,19/05/2023,0,1,3,Referral,1,18
2406,27,18/06/2022,6,FortiGateX,Security,Pro,Weekly,4798,Annual,10,44,63,05/12/2023,0,5,4,Referral,0,21
736,41,17/05/2022,6,FortiGateX,Security,Basic,Daily,4545,Monthly,1,0,27,07/07/2023,0,8,5,Social Media,0,10
61,55,11/04/2022,6,FortiGateX,Security,Free,Weekly,3247,Monthly,12,29,92,03/01/2023,0,8,3,Advertisement,1,20
4958,59,23/12/2022,6,FortiGateX,Security,Basic,Daily,4126,Annual,12,38,32,12/11/2023,0,2,1,Referral,0,4
2797,67,10/05/2022,5,SentinelShield,Security,Pro,Daily,4434,Annual,6,37,95,16/06/2023,1,1,2,Referral,0,11
4334,69,14/04/2023,6,FortiGateX,Security,Free,Monthly,103,Lifetime,13,9,64,11/08/2023,0,4,3,Direct,0,9
281,75,28/07/2022,6,FortiGateX,Security,Basic,Monthly,2338,Monthly,13,5,80,13/05/2023,0,2,5,Referral,1,9
2439,76,22/10/2022,7,DataGuardian,Security,Basic,Monthly,4956,Annual,20,8,24,20/11/2023,0,4,5,Social Media,1,21
4197,82,29/09/2022,8,SecureAuth,Security,Enterprise,Daily,1147,Annual,26,35,88,23/01/2023,0,8,4,Direct,0,6
3866,84,13/11/2023,8,SecureAuth,Security,Free,Monthly,4467,Lifetime,22,11,28,01/07/2023,1,2,4,Referral,0,8
4670,85,31/05/2023,5,SentinelShield,Security,Enterprise,Monthly,3858,Lifetime,23,2,62,05/01/2024,0,5,4,Direct,0,26
2611,87,04/03/2022,6,FortiGateX,Security,Pro,Daily,325,Annual,1,44,82,18/05/2023,0,3,2,Email,1,13
2261,101,21/01/2022,7,DataGuardian,Security,Enterprise,Monthly,725,Monthly,6,46,95,25/09/2023,0,9,5,Email,0,25
4081,111,01/12/2022,8,SecureAuth,Security,Free,Daily,4322,Lifetime,18,6,34,12/09/2023,0,5,1,Email,0,23
1431,112,19/04/2023,8,SecureAuth,Security,Pro,Weekly,4977,Lifetime,15,23,24,17/08/2023,0,2,2,Referral,1,25
2749,115,11/06/2023,5,SentinelShield,Security,Free,Weekly,1088,Lifetime,29,7,35,02/08/2023,0,6,2,Advertisement,0,20
3829,118,14/01/2023,8,SecureAuth,Security,Basic,Daily,3835,Annual,16,6,32,03/02/2024,0,8,1,Email,0,28
4761,127,14/05/2022,5,SentinelShield,Security,Basic,Weekly,3766,Annual,4,35,98,02/07/2023,0,9,2,Email,1,4
1305,139,07/08/2023,7,DataGuardian,Security,Enterprise,Weekly,2126,Lifetime,1,12,83,09/12/2023,0,2,4,Referral,0,18
4926,145,16/05/2022,5,SentinelShield,Security,Basic,Monthly,4051,Monthly,29,21,72,13/01/2024,0,3,2,Referral,1,4
2227,146,03/12/2022,5,SentinelShield,Security,Enterprise,Weekly,298,Annual,15,21,84,04/12/2023,0,9,5,Referral,0,8
1956,147,02/01/2023,5,SentinelShield,Security,Basic,Monthly,2314,Monthly,21,42,72,07/03/2023,0,6,1,Email,0,24
4122,152,07/06/2023,6,FortiGateX,Security,Pro,Monthly,355,Lifetime,8,1,76,01/03/2023,0,3,4,Advertisement,1,19
1803,157,15/10/2023,7,DataGuardian,Security,Free,Daily,4115,Lifetime,25,25,94,14/01/2024,0,7,4,Email,1,5
2330,162,25/07/2022,5,SentinelShield,Security,Basic,Daily,3083,Lifetime,16,33,89,22/05/2023,0,4,4,Referral,1,28
1060,168,15/11/2023,5,SentinelShield,Security,Enterprise,Daily,1308,Lifetime,2,31,62,10/03/2023,0,7,3,Email,0,27
4481,169,02/03/2022,8,SecureAuth,Security,Enterprise,Daily,3685,Annual,0,10,54,02/02/2024,0,4,4,Referral,1,4
4206,176,29/05/2022,6,FortiGateX,Security,Free,Daily,2293,Annual,6,5,57,04/09/2023,0,5,5,Referral,0,6
4647,185,29/11/2022,7,DataGuardian,Security,Basic,Daily,4848,Monthly,23,12,58,31/07/2023,0,4,4,Referral,1,25
